date,nv total gas sold,nv share of usa gas,average state tax excl. nv,nv excise tax
2002-04-01,79949728.0,0.00694045530700628,0.19132566960828024,0.24
2002-05-01,83551075.0,0.006840158789586576,0.19302977418897224,0.24
2002-06-01,86506916.0,0.007393960654612736,0.19208966999959504,0.24
2002-07-01,90566191.0,0.007472226852552032,0.19304856543003932,0.24
2002-08-01,93530159.0,0.007651773285017438,0.19231452689625755,0.24
2002-09-01,84440430.0,0.007322790964558792,0.1912461241689859,0.24
2002-10-01,88667234.0,0.007595919003683551,0.19216120458494226,0.24
2002-11-01,78364062.0,0.006865991241109988,0.19140523324829362,0.24
2002-12-01,87885917.0,0.007647014453297144,0.19178292117352994,0.24
2003-01-01,83004838.0,0.007456923387203537,0.18940300745053884,0.24
2003-02-01,77892424.0,0.0076325938720101525,0.18881626316933778,0.24
2003-03-01,85742393.0,0.007608772467660826,0.1891730081220472,0.24
2003-04-01,84356512.0,0.007399332868457896,0.1888947486887853,0.24
2003-05-01,91584745.0,0.007609166240349309,0.1902724423447985,0.24
2003-06-01,90805879.0,0.007616431707097477,0.19018682336295448,0.24
2003-07-01,96188826.0,0.007823163323406315,0.19371666611740368,0.24
2003-08-01,95701846.0,0.007754180890171453,0.192714684552837,0.24
2003-09-01,90277761.0,0.007774636960312962,0.1917471678000507,0.24
2003-10-01,92529944.0,0.007977411628637602,0.19288612911376699,0.24
2003-11-01,85063579.0,0.007302099025596359,0.19222880893206323,0.24
2003-12-01,89408836.0,0.007535155867492273,0.19258043478956266,0.24
2004-01-01,87556420.0,0.007774600499326694,0.1936290334322169,0.24
2004-02-01,83101578.0,0.0075511320197455285,0.19381893892786906,0.24
2004-03-01,92088120.0,0.007875797982003456,0.19465205708394084,0.24
2004-04-01,90419713.0,0.007600868057294254,0.1938347753362822,0.24
2004-05-01,93692007.0,0.0076805972845166715,0.19544204128776735,0.24
2004-06-01,91306527.0,0.007698335069447275,0.194901332629407,0.24
2004-07-01,99911334.0,0.008188853635428992,0.19726658510774245,0.24
2004-08-01,99405508.0,0.008134413764130823,0.19674494683070365,0.24
2004-09-01,93335038.0,0.007811532114577771,0.19516166850215663,0.24
2004-10-01,94463205.0,0.008065737098860184,0.1965151153341328,0.24
2004-11-01,88449494.0,0.007695586538236127,0.1957986461751773,0.24
2004-12-01,91639155.0,0.007523439071858279,0.19583309569467222,0.24
2005-01-01,88651786.0,0.00805939991717213,0.1973265003704213,0.24
2005-01-31,,,,0.24
2005-02-01,82529551.0,0.0076395628180750625,0.19689373519542153,0.24
2005-03-01,96687146.0,0.008202972445297704,0.19757577482956465,0.24
2005-04-01,90353268.0,0.007788060107807071,0.19721692758263215,0.24
2005-05-01,98703890.0,0.008100287473773242,0.1978708049129419,0.24
2005-06-01,97500903.0,0.008049927540263865,0.19811497022788724,0.24
2005-07-01,105991581.0,0.008568075846851844,0.20390353958149318,0.24
2005-08-01,106939328.0,0.008517408496146892,0.20112465785234884,0.24
2005-09-01,95523182.0,0.008338751575023081,0.2002986398688592,0.24
2005-10-01,96134106.0,0.008306468450159876,0.2005542238324157,0.24
2005-11-01,93182533.0,0.00822254427115826,0.19990666418596317,0.24
2005-12-01,88003431.0,0.007369996617313489,0.20052721812268282,0.24
2006-01-01,98469115.0,0.008907838864847256,0.20800448657168286,0.24
2006-02-01,89858233.0,0.008333555461515148,0.20154875440328082,0.24
2006-03-01,97194287.0,0.00827819405676416,0.20155599809646485,0.24
2006-04-01,97002487.0,0.00835904422018332,0.20331859447980244,0.24
2006-05-01,97029554.0,0.008098803797174375,0.2023272924447432,0.24
2006-06-01,98576322.0,0.008397678640452055,0.20298025570404474,0.24
2006-07-01,103340671.0,0.008534106320786815,0.20262774397536826,0.24
2006-08-01,103952894.0,0.008519263412593561,0.20447361140492037,0.24
2006-09-01,97947642.0,0.008301898221548984,0.2025757295000385,0.24
2006-10-01,97706003.0,0.008221974554818285,0.20352712952864654,0.24
2006-11-01,93683461.0,0.008150675356809824,0.20317391418603803,0.24
2006-12-01,98316149.0,0.00815645778091996,0.20277736043941644,0.24
2007-01-01,95451422.0,0.008428501005688194,0.20331168744994932,0.24
2007-02-01,87737940.0,0.00820060819398293,0.2028392048803806,0.24
2007-03-01,99912994.0,0.008558619081639211,0.2037122299091726,0.24
2007-04-01,97713693.0,0.00833949801798615,0.20289666499687953,0.24
2007-05-01,99502233.0,0.008243408212855415,0.20340042844566072,0.24
2007-06-01,100200652.0,0.008411028804671828,0.20456563536237263,0.24
