area,Reformulated Motor Gasoline Bulk Sales (Volume),Reformulated Motor Gasoline DTW Sales Volume,Reformulated Motor Gasoline Rack Sales Volume,Reformulated Motor Gasoline Retail Sales by Refiners and Gas Plants,Reformulated Motor Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Reformulated Motor Gasoline Wholesale/Resale Volume by Refiners and Gas Plants,Regular Gasoline Bulk Sales (Volume),Regular Gasoline DTW Sales Volume,Regular Gasoline Rack Sales Volume,Regular Gasoline Retail Sales by Refiners and Gas Plants,Regular Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Regular Gasoline Wholesale/Resale Volume by Refiners and Gas Plants,Total Gasoline Bulk Sales (Volume),Total Gasoline DTW Sales Volume,Total Gasoline Rack Sales Volume,Total Gasoline Retail Sales by Refiners and Gas Plants,Total Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Total Gasoline Wholesale/Resale Volume by Refiners and Gas Plants
U.S.,8904,48149.4,37218.3,22142.8,21670.4,94271.7,28325.1,46246.6,161230.1,44468.1,43334.4,235801.8,31759.1,66980.8,200184.8,60024.8,58554,298924.7
CALIFORNIA,,22937.6,,8153.8,7935.3,33419.8,3441.8,15882.4,5418.4,5831,5673.5,24742.5,3717.5,22937.6,6994.7,8153.8,7935.3,33649.8
U.S.,9288,49788.2,36050.9,22577,22103.6,95127,35683.9,47871.8,156303.5,44715.6,43584.7,239859.3,40051,69379.4,194660.9,60793.5,59308,304091.2
CALIFORNIA,,22939.6,,8251.4,8034.5,32959,2880.4,16028.2,5627,5960.4,5803,24535.6,3106,22939.6,7144.6,8251.4,8034.5,33190.3
U.S.,8259.5,49057.6,34549,22820,22364.7,91866.1,32590.7,47621.3,149615.4,44491.4,43357.9,229827.4,36179.5,68347.3,185919.9,60211.7,58727.6,290446.6
CALIFORNIA,,22790.8,,8649.6,8425.9,33073.2,2924.1,16084.8,5715.1,6265.2,6103.6,24723.9,3289.6,22790.8,7230.2,8649.6,8425.9,33310.6
U.S.,7347.5,49771.9,36004.3,23884,23402.8,93123.8,28865,48356.8,154537.7,47064.1,45911.7,231759.5,31686.7,69399.5,192820.3,63942.2,62426.2,293906.5
CALIFORNIA,,22676.6,,8602.9,8350.6,33966.9,3472.6,16203.2,6115,6245.8,6070.6,25790.8,3787.4,22676.6,7624,8602.9,8350.6,34088
U.S.,9160.6,49999,36892.6,23584.1,23065.7,96052.1,32110.6,49115.3,157764.7,46785.6,45587.9,238990.6,35113.8,69637.5,195144.4,62828.5,61251.2,299895.7
CALIFORNIA,3698.2,22701.9,7983.8,8721.3,8477.7,34383.9,3534.7,16260.7,6479.7,6383.8,6209.4,26275.1,3945.6,22701.9,8056.9,8721.3,8477.7,34704.4
U.S.,9010.9,49178.5,38421.3,24062.6,23535.4,96610.7,40670.8,48482.1,165268.7,48106.8,46845.1,254421.6,45034.6,68174.3,202137.6,63953.3,62288.4,315346.5
CALIFORNIA,3166.1,22688.2,7616.9,8926.5,8682.7,33471.2,3011.6,16142.1,6108.1,6498.1,6316,25261.7,3426.1,22688.2,7687.2,8926.5,8682.7,33801.5
U.S.,9526.1,48702,38771.2,24519.4,24021.3,96999.3,45383.4,47539.5,169139,48249,46967.5,262061.9,49587.3,67503,208381.8,64537,62870.5,325472.2
CALIFORNIA,,22825.2,,8812.4,8568.1,32772.2,2627,16289.9,5730.4,6373,6202.6,24647.3,3079,22825.2,7197,8812.4,8568.1,33101.3
U.S.,10355.7,49339.7,37750.9,24537.6,24053.5,97446.3,45424.9,47914.5,167525.1,48308.7,47266.7,260864.5,49928.3,68048.1,206735.8,64874,63474.6,324712.2
CALIFORNIA,2834,21808.4,7669.1,8614.1,8370.5,32311.5,2819.6,15534.9,6162.7,6213.7,6059,24517.2,3234.6,21808.4,7736.5,8614.1,8370.5,32779.5
U.S.,10197.3,47799.5,38333.9,24343.9,23821,96330.6,43720.9,46451.5,171415.5,48227.4,46989.6,261588,47875.6,66176.3,212513.1,64594.2,62913.4,326565
CALIFORNIA,3137.4,22141.9,8142.9,8934,8743,33422.1,3143.7,15726.7,6506.7,6480.9,6331.4,25377.2,3493.4,22141.9,8216.1,8934,8743,33851.4
U.S.,12210.4,48082.3,40078,25143.7,24660.1,100370.7,47431,46986.9,172652.4,49689.9,48472.5,267070.3,51250.3,66955.9,214422.9,66683.5,65071.7,332629
CALIFORNIA,3168.5,21850.8,7193.5,8830.7,8653.8,32212.8,3136.4,15465,5718.8,6396,6257.9,24320.3,3465.3,21850.8,7260.2,8830.7,8653.8,32576.3
U.S.,9785,46708.5,37502.5,23916.1,23454.7,93996,37313.3,45096.1,158845.2,46337.2,45206.4,241254.7,41438.9,64445.3,196769,62352.4,60861.1,302653.2
CALIFORNIA,3088.9,22337.6,8295,8788.2,8592,33721.5,2941.1,15714.1,6526.2,6356.4,6203.7,25181.5,3358.1,22337.6,8391.2,8788.2,8592,34086.9
U.S.,9158.3,47787.8,39902.2,24208.5,23626.3,96848.2,37156.8,46631.9,167725.8,47413.3,46184.2,251514.6,41730.3,66417.1,206763.3,63344.8,61735.7,314910.6
CALIFORNIA,,21349.3,,8565.5,8392.5,32547.4,3931.7,15056.5,5939.7,6179.6,6045.6,24927.8,4409.3,21349.3,7453,8565.5,8392.5,33211.7
U.S.,9084,46712.3,38713.2,24036.4,23523.7,94509.5,40533.1,44983.9,161383.6,47173.5,46059.8,246900.7,45394.6,64208.6,199404,63255.8,61799.9,309007.2
CALIFORNIA,2962.5,20919.6,7415.7,8847.8,8675.1,31297.9,,14703.1,,6363.4,6231.8,23566.2,3674.9,20919.6,7508.8,8847.8,8675.1,32103.4
U.S.,7815.9,45775.8,39292.3,24275.4,23782.7,92883.9,38351.9,44101.9,159848.5,46943.6,45875.1,242302.3,43813.4,63084.6,197889,63109.4,61702.2,304787
CALIFORNIA,,20604.5,,8210.1,8030.1,32843,3681.1,14643.8,6763.6,5986.8,5839.9,25088.5,4175.8,20604.5,8514.6,8210.1,8030.1,33295
U.S.,8786.2,44582.1,39582.8,23072.8,22585.5,92951.1,33651.4,43727.8,156474.9,45287.2,44192.7,233854.1,37837.8,61802.8,192004.8,60247.9,58844.9,291645.4
CALIFORNIA,,21112.3,,8375.6,8189.8,33303.3,3950.7,15349.9,6684.1,6233.5,6081.4,25984.8,4357.9,21112.3,8321.5,8375.6,8189.8,33791.6
U.S.,7393.9,44287.4,39740.9,23202,22703.7,91422.2,30953.6,44574.4,160137.5,46677.1,45401,235665.5,33623.5,61782.3,193759.4,60803.4,59154.4,289165.1
CALIFORNIA,,20821.3,8531.5,8101.8,7917.8,34145.2,,15825.2,7186.8,6213.2,6059.3,27733.2,,20821.3,8621.6,8101.8,7917.8,34727.7
U.S.,7990.7,44371.6,41083.1,23298.9,22776.7,93445.4,30914.9,45475.1,165153.6,47200.2,46007,241543.6,32883.4,61336.3,197964.3,60815.8,59294.6,292183.9
CALIFORNIA,3783.8,20614.4,8658.1,7908.2,7735.7,33056.3,3926.3,15449.6,7240.7,6045.4,5901.9,26616.6,4475.6,20614.4,8740.9,7908.2,7735.7,33830.9
U.S.,7421,43990.7,42223.9,23230.6,22691.3,93635.7,36702,44450.7,169553.8,47551.5,46323.5,250706.5,39400.9,60786.8,204841.7,61728.4,60184,305029.5
CALIFORNIA,3948.8,20616.6,9099,8653.3,8479.4,33664.3,4211.2,15127.7,7477.3,6445.9,6302.7,26816.3,4773.8,20616.6,9176.7,8653.3,8479.4,34567.1
U.S.,9050.8,43311.8,43829.5,25379,24819.5,96192.1,39288.7,43483.6,173898.6,50207.7,48767.6,256670.9,43152.2,59889.8,211680.7,66315.5,64482.6,314722.7
CALIFORNIA,,21613.5,,8758.1,8586.5,34168.2,3981.1,15827.8,7158.5,6533.4,6394.5,26967.4,4595,21613.5,8823.4,8758.1,8586.5,35031.9
U.S.,11086.1,44622.6,43604.6,26014.9,25574.2,99313.3,46752.9,44508.7,176149.6,50272.5,49064.7,267411.2,50678.1,61397.1,214828.4,66426.5,64871.1,326903.5
CALIFORNIA,3774.8,21576.9,9142,8876.8,8718.8,34493.7,3936.3,15690.4,7417.1,6594.9,6469.8,27043.7,4555.7,21576.9,9223.7,8876.8,8718.8,35356.3
U.S.,11309,44594.4,44235.4,26045.3,25624.3,100138.8,44428.5,44309.4,179592.7,50417,49161.7,268330.5,48445,61481.8,220137.5,66803.1,65179.3,330064.3
CALIFORNIA,3800,22041.3,8836.9,8781.5,8618.3,34678.2,4015.2,16355.2,7253,6596.8,6468,27623.4,4658.3,22041.3,8925.9,8781.5,8618.3,35625.5
U.S.,11553.5,44967.1,45576.4,26101.4,25664.4,102097,47639,45408,183063.7,50980.4,49655.2,276110.6,51204.5,62032.8,222304.7,66812.7,65092.2,335542.1
CALIFORNIA,,20466.1,,8573.4,8414.7,34044.1,4209.9,15219.3,7852.3,6485.3,6358.5,27281.5,4755.2,20466.1,9564.1,8573.4,8414.7,34785.5
U.S.,10287.8,40937.6,44888.2,24772.4,24329.6,96113.6,46823.4,41506.1,174762.2,49099.3,47761.5,263091.8,49650.9,56228,211126.4,63949,62239.2,317005.3
CALIFORNIA,,20713.7,,8649.8,8489.8,33182.1,3720.4,15109.1,7362.9,6435.2,6309.5,26192.4,4211.6,20713.7,9078.5,8649.8,8489.8,34003.8
U.S.,7967.5,42128.7,44345,25220.3,24755.9,94441.2,43921.2,42060.6,176124,49165.8,47825.1,262105.8,47083.1,57580.3,214297.4,64615.5,62899.2,318960.8
CALIFORNIA,,20839.2,,8557.3,8395.3,30542,,,7121.2,6307,6179.1,23415.2,,20839.2,,8557.3,8395.3,31092.6
U.S.,5143.2,41801.9,42833.5,24964.8,24537.5,89778.6,40772.6,41099.2,167702.3,48026.1,46816.4,249574.1,43733.3,56750,204666.9,63778.4,61978.1,305150.3
CALIFORNIA,,20744.8,,8522.3,8501.1,30301.6,,,7118.4,6254.7,6236.5,23204.3,,20744.8,,8522.3,8501.1,30887.7
U.S.,5029.4,41964,44133.6,24980.5,24740.3,91127,38649.4,41334.7,173160.8,47868.6,46852.7,253144.9,42425,57172.6,211459.1,63394.5,62121.7,311056.7
CALIFORNIA,,20177.1,,8048.6,8033.5,29751.6,1264.9,14599.2,7064.6,5929.5,5915.5,22928.7,1494.4,20177.1,8770.5,8048.6,8033.5,30441.9
U.S.,4100.4,40828.3,42196.1,22836.2,22476.8,87124.8,31855.5,40258,163782.7,43502.3,42382.2,235896.3,33901,55262,198103.3,57143.8,55735.5,287266.4
CALIFORNIA,,20790.1,,8047.3,8025.8,31369.5,,15292.6,,6019.4,6000.4,24510.1,1696.6,20790.1,9432.4,8047.3,8025.8,31919.1
U.S.,5138.6,41736.2,43236.6,22871.2,22474.1,90111.4,33071,41619.7,167047.8,44777.1,43539.9,241738.5,35237.8,56593.8,201970.8,58381.7,56844,293802.3
CALIFORNIA,,20480.5,,8106,8091.2,31816.9,,15318.2,,6143.3,6129.9,25319.5,1533.6,20480.5,10418.6,8106,8091.2,32432.8
U.S.,5267.9,41173.4,45757,22907.2,22515.9,92198.3,37256.8,41560.1,177292.5,45899,44625.6,256109.5,39676.9,55851.5,212998.6,59186.2,57596.3,308527
CALIFORNIA,,20430.8,,8046.2,8031.5,31728,1651.3,15277.5,8481.2,6087.2,6074.9,25410,1877.2,20430.8,10227.4,8046.2,8031.5,32535.4
U.S.,5499.4,40400.2,46361.4,23096.6,22718.1,92260.9,41145.3,41495.6,182268.4,46364.4,45118.1,264909.2,43469.9,55453.9,217386,59352.6,57804.4,316309.9
CALIFORNIA,,20913.1,,8060.5,7956.6,32246.1,1820.2,15807.4,8554.7,6179.6,6077.4,26182.3,2052.2,20913.1,10293.4,8060.5,7956.6,33258.6
U.S.,7401.6,41313.1,47113.5,22738.5,22265.8,95828.2,46131.4,42662.6,183056.1,46570.1,45256.9,271850.1,48757.2,56219.9,215818.7,58565.7,56967.1,320795.8
CALIFORNIA,,20193.1,,8168.1,8045,32068.6,2261.7,15263.6,8868.9,6266,6143.4,26394.2,2579.1,20193.1,10618.8,8168.1,8045,33390.9
U.S.,8772.9,39568.6,48903.2,22782.8,22292.3,97244.7,48674.3,40820.2,190086.6,46960,45635.1,279581.1,51692.9,53727.3,223995,58992.8,57403.3,329415.2
CALIFORNIA,,20558.3,,8236,8121.5,32245.9,2166,15417.1,8736,6251.3,6137.3,26319,2408,20558.3,10589.1,8236,8121.5,33555.4
U.S.,7131.4,39564.8,49090,22372.2,21921.6,95786.3,46595.4,41041.7,191825.6,46519,45302.4,279462.7,49193,54403.2,227610.6,59012,57527.3,331206.8
CALIFORNIA,1508.2,20730.4,10728.3,8300.6,8200.4,32966.9,1931.1,15452.9,8860.9,6265.4,6165.7,26244.9,2194.2,20730.4,10828.5,8300.6,8200.4,33753.2
U.S.,7539.6,39903,49402,22308,21868.6,96844.7,49973.8,41130.6,188555.8,46830.2,45565.5,279660.3,52247.5,54735.7,224816.8,59664.1,58094.7,331800.1
CALIFORNIA,,20835.5,,8267,8148.7,32594.4,1985.5,,8604.9,6210.2,6106.6,26086.6,2200.5,20835.5,10529.9,8267,8148.7,33565.9
U.S.,6253.1,40064.8,48543.5,21819.9,21371,94861.4,39751.4,40868.5,184021.6,44965,43691.4,264641.5,42447.7,54652.3,220036,57327.4,55766.8,317136
CALIFORNIA,,20179,,8028.1,7901.3,31197.7,,,,6136.8,6026.7,25360.5,1985.4,20179,9948.7,8028.1,7901.3,32113.1
U.S.,8731.9,39556.5,48640.3,21543.1,21103.5,96928.7,42632.2,41191,183000.4,46123.4,44852.3,266823.5,44677.9,54238.6,216807.8,57977.1,56431.6,315724.3
CALIFORNIA,,19808,,7818.8,7709.9,32184,,14918.7,,5825.8,5730.3,26454.1,2711.3,19808,10844.9,7818.8,7709.9,33364.3
U.S.,6627.7,38730.9,49951.2,20890.2,20466,95309.8,35756,40094.9,183559.3,45080.9,43827.7,259410.2,37340.8,52984.6,217581.6,57017.9,55497.5,307907
CALIFORNIA,,19776.5,,7948,7851.9,32919.7,,14684.9,,5864.5,5768.7,27082.6,2830.5,19776.5,11774.5,7948,7851.9,34381.5
U.S.,8152.6,39085.9,53228.8,21344.2,20920.5,100467.3,52674,40178.3,190401.7,45459.1,44217,283254.1,54912.7,53550,227208.1,58013.6,56514.1,335670.8
CALIFORNIA,,19418.2,,7794.6,7775,30128.2,,14405.9,,5714.3,,23933.7,1619.3,19418.2,9805.2,7794.6,7775,30842.6
U.S.,8979.9,35869.7,46779.1,21173.7,20850.7,91628.7,43305.4,36355.5,171612.7,43109.7,42001.1,251273.7,46668.7,48447.9,204799.1,54938.7,53592.7,299915.6
CALIFORNIA,,20441.6,,8205.1,8187.9,31328.9,,15335.5,,6072.4,6055.8,25032.1,1428.6,20441.6,10197.4,8205.1,8187.9,32067.5
U.S.,9321.1,37710.5,48649,22463.6,22115.9,95680.6,46242.4,38537.8,179412.7,46005.7,44814,264192.8,49468.9,50996.6,214333.8,58368.8,56918.8,314799.3
CALIFORNIA,,20879.6,,8257.5,8246,32924.4,1838.6,15824.4,9168,6175.8,6164.8,26831,1972.5,20879.6,11107.6,8257.5,8246,33959.7
U.S.,9580,38024.5,50143.4,22668.9,22301.5,97747.9,41124.2,39167.7,185698.5,46560.5,45291.9,265990.4,43706.3,51293.3,219994.1,58330,56800.6,314993.6
CALIFORNIA,,20665.4,,8365.8,8353.9,32513.5,2205.1,15891.3,9000.1,6340,6329.3,27096.5,2388.8,20665.4,10714.2,8365.8,8353.9,33768.4
U.S.,9107.3,37103.3,51015.2,23033.3,22670.6,97225.8,49391.8,38845.2,188801.2,47670.3,46427.4,277038.2,52882.3,50258.4,221720.5,59093.3,57593.9,324861.2
CALIFORNIA,1132.5,20237.8,11759.6,8427.3,8418.7,33129.9,2369.4,15364.2,9978.5,6305.9,6297.7,27712.1,2514,20237.8,11913.1,8427.3,8418.7,34664.9
U.S.,12421,36457.1,53115.5,22877,22551.2,101993.7,49270.8,37627.4,191964.7,47706.4,46546.4,278863,52260.2,49254.4,228239.2,59474.5,58068.7,329753.8
CALIFORNIA,,20711.1,,8740.2,,33873.8,2455.9,15664.8,9701.7,6532.4,6509.2,27822.4,2749.6,20711.1,11677.3,8740.2,8715.9,35137.9
U.S.,15609.2,38074.9,53043.4,24257.4,23887.4,106727.6,55083.7,38828.7,197735.6,49554.5,48308.6,291648,58085.8,50834.1,235187.1,61731.9,60238.8,344106.9
CALIFORNIA,834.6,20242.4,11483,8645.2,,32560,1921.4,15429.5,9644.4,6470.2,6453.6,26995.2,2116.1,20242.4,11572.5,8645.2,8628,33931.1
U.S.,9209.9,36854,51972.3,23709.8,23386.1,98036.2,43661.2,38061.9,196456.8,49237.6,48140.7,278179.8,46681.8,49405.5,233302.7,61109.4,59780.8,329390.1
CALIFORNIA,1280.6,20336,11992.2,8600.8,8586.1,33608.8,2118.2,15682.4,10276.4,6536.4,6522.3,28077,2330,20336,12186.6,8600.8,8586.1,34852.5
U.S.,12485.7,36734,53836.4,23745.6,23378.9,103056.1,47597,38714.2,204300.8,49904.7,48587.7,290611.9,50586,49667.8,240724.5,61220.9,59648.3,340978.3
CALIFORNIA,,19845.2,,8352.9,8337.8,31863.8,1626.8,15569.5,9651,6514.9,6500.5,26847.3,1838.2,19845.2,11264.8,8352.9,8337.8,32948.2
U.S.,10126.6,35426.6,49692.3,22721,22392.3,95245.5,41541.2,37255,188061.8,47523.2,46277.9,266858,44808.8,47187.8,219966.5,57866.5,56376,311963.1
CALIFORNIA,897.2,19474.7,11236.3,8272.3,8263.2,31608.2,1154.3,15124.1,9663.4,6299.5,6290.7,25941.8,1276.3,19474.7,11401.5,8272.3,8263.2,32152.5
U.S.,11648.4,34754.8,50854,21444.4,21148.2,97257.2,39401.2,36079.6,189459.1,46809.5,45697.8,264939.9,43216.5,45850.9,220922.1,57075.2,55750.8,309989.5
