year,zip,total pop.
2011,91769.0,70842
2011,91767.0,49461
2011,91768.0,35525
2011,91770.0,61869
2011,91771.0,61869
2011,91772.0,61869
2011,91773.0,33269
2011,91775.0,24677
2011,91776.0,37634
2011,91778.0,37634
2011,91780.0,34139
2011,91784.0,27285
2011,91785.0,50650
2011,91786.0,50650
2011,91788.0,42292
2011,91789.0,42292
2011,91790.0,44720
2011,91793.0,44720
2011,91791.0,32170
2011,91792.0,30560
2011,91801.0,53135
2011,91802.0,53135
2011,91804.0,53135
2011,91896.0,53135
2011,91899.0,53135
2011,91803.0,30197
2011,91901.0,16606
2011,91903.0,16606
2011,91902.0,17399
2011,91908.0,17399
2011,91905.0,955
2011,91906.0,3511
2011,91909.0,71887
2011,91910.0,71887
2011,91912.0,71887
2011,91921.0,71887
2011,91911.0,79518
2011,91913.0,40633
2011,91914.0,16741
2011,91915.0,24329
2011,91916.0,1491
2011,91917.0,648
2011,91931.0,449
2011,91932.0,25334
2011,91933.0,25334
2011,91934.0,477
2011,91935.0,8387
2011,91941.0,31762
2011,91942.0,38314
2011,91943.0,38314
2011,91944.0,38314
2011,91945.0,25343
2011,91946.0,25343
2011,91948.0,43
2011,91950.0,60003
2011,91951.0,60003
2011,91962.0,1027
2011,91963.0,1424
2011,91976.0,58402
2011,91977.0,58402
2011,91979.0,58402
2011,91978.0,8871
2011,91980.0,359
2011,91987.0,359
2011,92003.0,3841
2011,92004.0,2847
2011,92007.0,11094
2011,92008.0,26343
2011,92013.0,26343
2011,92018.0,26343
2011,92009.0,39781
2011,92010.0,14194
2011,92011.0,21982
2011,92014.0,13333
2011,92019.0,42914
2011,92020.0,56836
2011,92022.0,56836
2011,92021.0,63397
2011,92023.0,48214
2011,92024.0,48214
2011,92025.0,47937
2011,92030.0,47937
2011,92033.0,47937
2011,92046.0,47937
2011,92026.0,48713
2011,92027.0,54956
2011,92028.0,47278
2011,92088.0,47278
2011,92029.0,20170
2011,92036.0,2733
2011,92037.0,43149
2011,92038.0,43149
2011,92039.0,43149
2011,92092.0,43149
2011,92093.0,43149
2011,92161.0,43149
2011,92040.0,41024
2011,92049.0,42829
2011,92051.0,42829
2011,92052.0,42829
2011,92054.0,42829
2011,92055.0,12107
2011,92056.0,50765
2011,92057.0,53061
2011,92058.0,44141
2011,92068.0,44141
2011,92059.0,1473
2011,92060.0,212
2011,92061.0,2678
2011,92064.0,47942
2011,92074.0,47942
2011,92065.0,36840
2011,92066.0,363
2011,92067.0,7576
2011,92069.0,45316
2011,92079.0,45316
2011,92096.0,45316
2011,92070.0,1243
2011,92071.0,53302
2011,92072.0,53302
2011,92075.0,12083
2011,92078.0,41589
2011,92081.0,27927
2011,92082.0,19420
2011,92083.0,36247
2011,92085.0,36247
2011,92084.0,46982
2011,92086.0,1188
2011,92143.0,1188
2011,92091.0,1040
2011,92101.0,33886
2011,92112.0,33886
2011,92138.0,33886
2011,92142.0,33886
2011,92149.0,33886
2011,92150.0,33886
2011,92152.0,33886
2011,92153.0,33886
2011,92158.0,33886
2011,92159.0,33886
2011,92160.0,33886
2011,92163.0,33886
2011,92165.0,33886
2011,92166.0,33886
2011,92167.0,33886
2011,92168.0,33886
2011,92169.0,33886
2011,92170.0,33886
2011,92171.0,33886
2011,92172.0,33886
2011,92174.0,33886
2011,92175.0,33886
2011,92176.0,33886
2011,92177.0,33886
2011,92179.0,33886
2011,92186.0,33886
2011,92187.0,33886
2011,92190.0,33886
2011,92191.0,33886
2011,92192.0,33886
2011,92193.0,33886
2011,92195.0,33886
2011,92196.0,33886
2011,92197.0,33886
2011,92198.0,33886
2011,92102.0,42715
2011,92103.0,30324
2011,92199.0,30324
2011,92104.0,43714
2011,92105.0,65746
2011,92106.0,19217
2011,92107.0,27264
2011,92108.0,17828
2011,92109.0,44095
2011,92110.0,26673
2011,92111.0,44737
2011,92113.0,55206
2011,92136.0,55206
2011,92114.0,66461
2011,92115.0,59978
2011,92182.0,59978
2011,92116.0,31847
2011,92117.0,52612
2011,92118.0,18838
2011,92178.0,18838
2011,92119.0,23772
2011,92120.0,26430
2011,92121.0,4398
2011,92122.0,44768
2011,92137.0,44768
2011,92123.0,27565
2011,92124.0,31360
2011,92126.0,76373
2011,92127.0,39425
2011,92128.0,47934
2011,92129.0,52942
2011,92130.0,47527
2011,92131.0,34073
2011,92132.0,0
2011,92134.0,30
2011,92135.0,793
2011,92139.0,35249
2011,92140.0,3854
2011,92145.0,1014
2011,92147.0,412
2011,92154.0,79755
2011,92155.0,843
2011,92173.0,28055
2011,92201.0,61304
2011,92202.0,61304
2011,92203.0,24016
2011,92210.0,4797
2011,92211.0,24271
2011,92220.0,31563
2011,92222.0,0
2011,92223.0,40779
2011,92225.0,25016
2011,92226.0,25016
2011,92227.0,26079
2011,92230.0,1741
2011,92231.0,37694
2011,92232.0,37694
2011,92233.0,10045
2011,92234.0,51130
2011,92235.0,51130
2011,92236.0,39743
2011,92239.0,284
2011,92240.0,32695
2011,92241.0,8619
2011,92242.0,1331
2011,92243.0,47445
2011,92249.0,7347
2011,92250.0,8638
2011,92251.0,21119
2011,92252.0,9430
2011,92247.0,36322
2011,92253.0,36322
2011,92248.0,36322
2011,92254.0,10996
2011,92256.0,3632
2011,92257.0,1978
2011,92258.0,665
2011,92259.0,305
2011,92255.0,31399
2011,92260.0,31399
2011,92262.0,24827
2011,92263.0,20885
2011,92264.0,20885
2011,92266.0,144
2011,92267.0,34
2011,92268.0,563
2011,92270.0,17022
2011,92244.0,1691
2011,92273.0,1691
2011,92274.0,18184
2011,92275.0,1173
2011,92276.0,7564
2011,92277.0,23463
2011,92278.0,4835
2011,92280.0,0
2011,92281.0,1872
2011,92282.0,879
2011,92283.0,2935
2011,92284.0,24896
2011,92286.0,24896
2011,92285.0,2667
2011,92301.0,32014
2011,92304.0,38
2011,92305.0,146
2011,92307.0,36875
2011,92308.0,39109
2011,92309.0,713
2011,92310.0,9781
2011,92311.0,32774
2011,92312.0,32774
2011,92313.0,12132
2011,92314.0,9433
2011,92315.0,5109
2011,92316.0,31232
2011,92320.0,7770
2011,92321.0,789
2011,92322.0,864
2011,92324.0,56103
2011,92325.0,7707
2011,92327.0,1253
2011,92328.0,249
2011,92332.0,8
2011,92333.0,663
2011,92331.0,97773
2011,92334.0,97773
2011,92335.0,97773
2011,92336.0,88670
2011,92337.0,35737
2011,92338.0,0
2011,92339.0,849
2011,92341.0,233
2011,92342.0,5207
2011,92344.0,20336
2011,92340.0,76950
2011,92345.0,76950
2011,92346.0,56748
2011,92369.0,56748
2011,92347.0,1551
2011,92352.0,6545
2011,92318.0,21196
2011,92350.0,21196
2011,92354.0,21196
2011,92357.0,21196
2011,92356.0,6310
2011,92358.0,735
2011,92359.0,7425
2011,92363.0,5183
2011,92323.0,60
2011,92364.0,60
2011,92366.0,60
2011,92365.0,2972
2011,92368.0,1095
2011,92329.0,14618
2011,92371.0,14618
2011,92372.0,5287
2011,92373.0,33506
2011,92375.0,33506
2011,92374.0,40472
2011,92376.0,83759
2011,92377.0,19867
2011,92378.0,140
2011,92317.0,5428
2011,92382.0,5428
2011,92384.0,42
2011,92385.0,223
2011,92386.0,2086
2011,92389.0,98
2011,92391.0,1909
2011,92392.0,51454
2011,92394.0,32351
2011,92393.0,42322
2011,92395.0,42322
2011,92397.0,4757
2011,92398.0,1175
2011,92399.0,52219
2011,92401.0,2150
2011,92402.0,2150
2011,92403.0,2150
2011,92406.0,2150
2011,92413.0,2150
2011,92415.0,2150
2011,92418.0,2150
2011,92423.0,2150
2011,92427.0,2150
2011,92404.0,60073
2011,92405.0,31080
2011,92407.0,56774
2011,92408.0,14277
2011,92410.0,46272
2011,92411.0,25300
2011,92501.0,22186
2011,92503.0,89679
2011,92504.0,53676
2011,92505.0,48132
2011,92502.0,44064
2011,92506.0,44064
2011,92513.0,44064
2011,92514.0,44064
2011,92515.0,44064
2011,92516.0,44064
2011,92517.0,44064
2011,92519.0,44064
2011,92521.0,44064
2011,92522.0,44064
2011,92507.0,52094
2011,92508.0,33685
2011,92509.0,77798
2011,92518.0,791
2011,92530.0,48418
2011,92531.0,48418
2011,92532.0,17262
2011,92536.0,3829
2011,92539.0,4719
2011,92543.0,34674
2011,92546.0,34674
2011,92544.0,44885
2011,92545.0,37241
2011,92548.0,7130
2011,92549.0,2309
2011,92551.0,29973
2011,92552.0,73633
2011,92553.0,73633
2011,92554.0,73633
2011,92556.0,73633
2011,92555.0,37745
2011,92557.0,50049
2011,92261.0,1553
2011,92561.0,1553
2011,92562.0,58727
2011,92564.0,58727
2011,92563.0,52827
2011,92567.0,7891
2011,92570.0,53510
2011,92572.0,53510
2011,92599.0,53510
2011,92571.0,50051
2011,92582.0,14568
2011,92581.0,29797
2011,92583.0,29797
2011,92584.0,42396
2011,92585.0,17015
2011,92586.0,19581
2011,92587.0,15832
2011,92589.0,3355
2011,92590.0,3355
2011,92593.0,3355
2011,92591.0,38325
2011,92592.0,68889
2011,92595.0,29855
2011,92596.0,24314
2011,92602.0,21191
2011,92603.0,18805
2011,92604.0,26649
2011,92606.0,20760
2011,92610.0,11811
2011,92612.0,25363
2011,92616.0,25363
2011,92697.0,25363
2011,92698.0,25363
2011,92614.0,23585
2011,92617.0,16149
2011,92618.0,14899
2011,92619.0,14899
2011,92650.0,14899
2011,92620.0,37865
2011,92624.0,7531
2011,92625.0,12759
2011,92626.0,50230
2011,92627.0,60152
2011,92628.0,60152
2011,92629.0,25910
2011,92609.0,58156
2011,92630.0,58156
2011,92637.0,16246
2011,92654.0,16246
2011,92615.0,56179
2011,92646.0,56179
2011,92605.0,56112
2011,92647.0,56112
2011,92648.0,45000
2011,92649.0,33130
2011,92651.0,23679
2011,92652.0,23679
2011,92653.0,29358
2011,92655.0,7716
2011,92656.0,48216
2011,92657.0,9710
2011,92658.0,33508
2011,92660.0,33508
2011,92661.0,4233
2011,92662.0,2761
2011,92659.0,21455
2011,92663.0,21455
2011,92672.0,34210
2011,92673.0,27922
2011,92674.0,27922
2011,92675.0,34524
2011,92693.0,34524
2011,92676.0,2112
2011,92862.0,2112
2011,92607.0,62855
2011,92677.0,62855
2011,92678.0,591
2011,92679.0,32974
2011,92683.0,89522
2011,92684.0,89522
2011,92685.0,89522
2011,92688.0,43852
2011,92691.0,46753
2011,92690.0,47385
2011,92692.0,47385
2011,92694.0,20510
2011,92701.0,54353
2011,92702.0,54353
2011,92712.0,54353
2011,92703.0,67936
2011,92704.0,87910
2011,92799.0,87910
2011,92705.0,43942
2011,92711.0,43942
2011,92706.0,36013
2011,92707.0,59304
2011,92735.0,59304
2011,92708.0,55554
2011,92728.0,55554
2011,92780.0,57542
2011,92781.0,57542
2011,92623.0,21978
2011,92782.0,21978
2011,92801.0,61500
2011,92803.0,61500
2011,92809.0,61500
2011,92850.0,61500
2011,92802.0,42797
2011,92812.0,42797
2011,92804.0,85386
2011,92814.0,85386
2011,92805.0,70267
2011,92815.0,70267
2011,92825.0,70267
2011,92806.0,35983
2011,92816.0,35983
2011,92899.0,35983
2011,92807.0,35999
2011,92817.0,35999
2011,92808.0,20738
2011,92821.0,35308
2011,92822.0,35308
2011,92823.0,3327
2011,92831.0,33851
2011,92834.0,33851
2011,92836.0,33851
2011,92832.0,24833
2011,92833.0,51958
2011,92837.0,51958
2011,92835.0,23107
2011,92838.0,23107
2011,92840.0,52846
2011,92842.0,52846
2011,92841.0,32075
2011,92843.0,44127
2011,92844.0,25355
2011,92845.0,16762
2011,92846.0,16762
2011,92860.0,27256
2011,92861.0,5784
2011,92857.0,17923
2011,92865.0,17923
2011,92856.0,15035
2011,92866.0,15035
2011,92863.0,42702
2011,92864.0,42702
2011,92867.0,42702
2011,92868.0,26192
2011,92859.0,39963
2011,92869.0,39963
2011,92811.0,51648
2011,92870.0,51648
2011,92871.0,51648
2011,92877.0,45657
2011,92878.0,45657
2011,92879.0,45657
2011,92880.0,61035
2011,92881.0,30656
2011,92882.0,67830
2011,92883.0,29265
2011,92885.0,45398
2011,92886.0,45398
2011,92887.0,20102
2011,93001.0,32940
2011,93002.0,32940
2011,93005.0,32940
2011,93006.0,32940
2011,93007.0,32940
2011,93003.0,50062
2011,93004.0,28485
2011,93010.0,42352
2011,93011.0,42352
2011,93012.0,34263
2011,93013.0,15844
2011,93014.0,15844
2011,93015.0,17571
2011,93016.0,17571
2011,93020.0,35263
2011,93021.0,35263
2011,93022.0,6146
2011,93023.0,20688
2011,93024.0,20688
2011,93030.0,57414
2011,93032.0,57414
2011,93033.0,80209
2011,93034.0,80209
2011,93035.0,28146
2011,93031.0,41567
2011,93036.0,41567
2011,93040.0,1548
2011,93041.0,24309
2011,93044.0,24309
2011,93042.0,24
2011,93043.0,0
2011,93009.0,33103
2011,93060.0,33103
2011,93061.0,33103
2011,93063.0,54866
2011,93064.0,0
2011,93062.0,71661
2011,93065.0,71661
2011,93094.0,71661
2011,93099.0,71661
2011,93066.0,3113
2011,93067.0,666
2011,93101.0,31543
2011,93102.0,31543
2011,93120.0,31543
2011,93121.0,31543
2011,93130.0,31543
2011,93140.0,31543
2011,93150.0,31543
2011,93160.0,31543
2011,93190.0,31543
2011,93103.0,20724
2011,93105.0,24511
2011,93108.0,11735
2011,93109.0,10227
2011,93110.0,16801
2011,93111.0,17177
2011,93106.0,53028
2011,93107.0,53028
2011,93116.0,53028
2011,93117.0,53028
2011,93118.0,53028
2011,93199.0,53028
2011,93201.0,1093
2011,93202.0,3585
2011,93203.0,20554
2011,93204.0,15705
2011,93205.0,2050
2011,93206.0,2134
2011,93207.0,227
2011,93208.0,96
2011,93210.0,17756
2011,93212.0,25937
2011,93215.0,55398
2011,93216.0,55398
2011,93218.0,850
2011,93219.0,8801
2011,93220.0,28
2011,93221.0,14519
2011,93222.0,1472
2011,93223.0,10579
2011,93224.0,503
2011,93225.0,4722
2011,93226.0,412
2011,93230.0,65664
2011,93232.0,65664
2011,93234.0,7026
2011,93235.0,4614
2011,93238.0,1625
2011,93239.0,1502
2011,93240.0,5818
2011,93241.0,18119
2011,93242.0,3243
2011,93243.0,1808
2011,93244.0,305
2011,93245.0,36606
2011,93246.0,36606
2011,93247.0,18368
2011,93249.0,2465
2011,93250.0,13661
2011,93251.0,253
2011,93252.0,4028
2011,93254.0,629
2011,93255.0,338
2011,93256.0,5196
2011,93257.0,75451
2011,93258.0,1455
2011,93260.0,137
2011,93261.0,2895
2011,93262.0,19
2011,93263.0,19130
2011,93265.0,3438
2011,93266.0,1655
2011,93267.0,6993
2011,93268.0,16891
2011,93270.0,5649
2011,93237.0,2218
2011,93271.0,2218
2011,93272.0,3202
2011,93274.0,68532
2011,93275.0,68532
2011,93282.0,68532
2011,93276.0,102
2011,93277.0,50853
2011,93280.0,26732
2011,93283.0,1936
2011,93285.0,2446
2011,93286.0,9482
2011,93287.0,126
2011,93227.0,51573
2011,93278.0,51573
2011,93279.0,51573
2011,93290.0,51573
2011,93291.0,51573
2011,93292.0,37371
2011,93670.0,37371
2011,93301.0,12138
2011,93302.0,12138
2011,93384.0,12138
2011,93304.0,50801
2011,93305.0,36878
2011,93306.0,65735
2011,93303.0,79117
2011,93307.0,79117
2011,93380.0,79117
2011,93383.0,79117
2011,93385.0,79117
2011,93386.0,79117
2011,93387.0,79117
2011,93388.0,79117
2011,93389.0,79117
2011,93390.0,79117
2011,93308.0,52993
2011,93309.0,58934
2011,93311.0,39076
2011,93312.0,53979
2011,93313.0,42406
2011,93314.0,21591
2011,93401.0,27618
2011,93403.0,27618
2011,93406.0,27618
2011,93407.0,27618
2011,93408.0,27618
2011,93409.0,27618
2011,93402.0,15014
2011,93412.0,15014
2011,93405.0,33485
2011,93410.0,0
2011,93420.0,29480
2011,93421.0,29480
2011,93422.0,30777
2011,93424.0,805
2011,93426.0,1086
2011,93427.0,5229
2011,93428.0,6499
2011,93429.0,224
2011,93430.0,3094
2011,93435.0,3094
2011,93432.0,1050
2011,93433.0,13189
2011,93483.0,13189
2011,93434.0,6914
2011,93436.0,54014
2011,93438.0,54014
2011,93437.0,3886
2011,93440.0,1641
2011,93441.0,1174
2011,93464.0,1174
2011,93423.0,10803
2011,93442.0,10803
2011,93443.0,10803
2011,93444.0,18948
2011,93445.0,7123
2011,93475.0,7123
2011,93446.0,42527
2011,93448.0,7753
2011,93449.0,7753
2011,93450.0,722
2011,93447.0,4231
2011,93451.0,4231
2011,93452.0,641
2011,93453.0,2998
2011,93454.0,34666
2011,93456.0,34666
2011,93457.0,34666
2011,93455.0,40718
2011,93458.0,55328
2011,93460.0,5633
2011,93461.0,1397
2011,93463.0,7712
2011,93465.0,9962
2011,93501.0,5233
2011,93502.0,5233
2011,93504.0,13658
