date,ca total gas sold,ca share of usa gas,average state tax excl. ca,ca state gas tax,ca state gas sales tax rate
2009-04-01,1249330377.0,0.10991031380043792,0.20884406865217725,0.18,0.0725
2009-05-01,1292957551.0,0.1085607400825832,0.2108606788335851,0.18,0.0725
2009-06-01,1236186504.0,0.10584078797382693,0.21026945355718663,0.18,0.0725
2009-07-01,1284485838.0,0.1066512745739471,0.2115347637080625,0.18,0.0725
2009-08-01,1269698932.0,0.10708956449358037,0.21146946221817853,0.18,0.0725
2009-09-01,1220604592.0,0.10762273420055463,0.21164867200333323,0.18,0.0725
2009-10-01,1246329075.0,0.10785299126355101,0.21233656228224207,0.18,0.0725
2009-11-01,1172295602.0,0.1050549520624623,0.21136301761474707,0.18,0.0725
2009-12-01,1237153006.0,0.1097458535959423,0.21191472728504976,0.18,0.0725
2010-01-01,1173485982.0,0.11031577383719077,0.2106302435021914,0.18,0.0725
2010-02-01,1134211818.0,0.10988108978954128,0.21094236441923525,0.18,0.0725
2010-03-01,1274076761.0,0.11201381890622959,0.21055302387450178,0.18,0.0725
2010-04-01,1257774730.0,0.11106785502183492,0.21027439823669336,0.18,0.0725
2010-05-01,1292535094.0,0.10834548254733045,0.21167998033708094,0.18,0.0725
2010-06-01,1255963488.0,0.1051512918749484,0.2100303782289672,0.18,0.0725
2010-07-01,1274417448.0,0.10434371403719735,0.21391625278879395,0.353,0.0225
2010-08-01,1291164966.0,0.10580633545582124,0.2124214230718538,0.353,0.0225
2010-09-01,1237725377.0,0.10921597676261469,0.21195637885020135,0.353,0.0225
2010-10-01,1263452498.0,0.1073090024912248,0.2136753500577953,0.353,0.0225
2010-11-01,1201345304.0,0.10691384332319194,0.21198722194387337,0.353,0.0225
2010-12-01,1234272144.0,0.10648376286908967,0.21296244934290998,0.353,0.0225
2011-01-01,1204276413.0,0.1119965186890552,0.21263656593735433,0.353,0.0225
2011-02-01,1133494562.0,0.11018045461357018,0.21367098501310414,0.353,0.0225
2011-03-01,1240401704.0,0.10969168746399795,0.211847301531196,0.353,0.0225
2011-04-01,1206021253.0,0.10930231411621505,0.21366366593270766,0.353,0.0225
2011-05-01,1241364441.0,0.10706061740432514,0.21351810031275645,0.353,0.0225
2011-06-01,1221301748.0,0.10430999753761284,0.21306163521380372,0.353,0.0225
2011-07-01,1246178307.0,0.10625253161966233,0.21478230194012712,0.357,0.0225
2011-08-01,1271155618.0,0.10732472071410046,0.21498412972437986,0.357,0.0225
2011-09-01,1212139341.0,0.10708526996933802,0.21398795442529173,0.357,0.0225
2011-10-01,1234350509.0,0.10927557892034999,0.21420245298878943,0.357,0.0225
2011-11-01,1170877687.0,0.10508065023145978,0.21300191093703535,0.357,0.0225
2011-12-01,1234026256.0,0.10900081617844898,0.2144257502527178,0.357,0.0225
2012-01-01,1166817280.0,0.10795902053814559,0.21339891092441193,0.357,0.0225
2012-02-01,1156427904.0,0.10912216125868221,0.21226374807588289,0.357,0.0225
2012-03-01,1239604480.0,0.11093787888424221,0.21407298788386261,0.357,0.0225
2012-04-01,1188732800.0,0.10691895155548785,0.21221638926163272,0.357,0.0225
2012-05-01,1279634688.0,0.10999333074085725,0.21369801024785656,0.357,0.0225
2012-06-01,1230703232.0,0.1059443746880576,0.21345485435500264,0.357,0.0225
2012-07-01,1231966976.0,0.106326312301819,0.21469168925484464,0.36,0.0225
2012-08-01,1258493952.0,0.10483436484602034,0.21483098469736062,0.36,0.0225
2012-09-01,1194183552.0,0.1078123604613302,0.21424131595497892,0.36,0.0225
2012-10-01,1221467904.0,0.10715652461144702,0.21372394588433194,0.36,0.0225
2012-11-01,1163315840.0,0.10558809623479962,0.2134304575879034,0.36,0.0225
2012-12-01,1194341888.0,0.10757619526441334,0.21412479142226795,0.36,0.0225
2013-01-01,1170849280.0,0.10923759556196756,0.21839316382698196,0.36,0.0225
2013-02-01,1099319168.0,0.1088737186049205,0.21724532298544028,0.36,0.0225
2013-03-01,1241055232.0,0.1094961211420458,0.2154845781174865,0.36,0.0225
2013-04-01,1210078464.0,0.10783355002538618,0.21795972892031595,0.36,0.0225
2013-05-01,1261850240.0,0.10922260340145219,0.218418507132555,0.36,0.0225
2013-06-01,1217494528.0,0.1024819314494059,0.21835993914150173,0.36,0.0225
2013-07-01,1242738176.0,0.10695160327182793,0.2181069032362238,0.395,0.0225
2013-07-30,,,,0.395,0.0225
2013-08-01,1277636864.0,0.10734162516763361,0.2189941167591114,0.395,0.0225
2013-09-01,1197089024.0,0.1060747342579093,0.2188060373918818,0.395,0.0225
2013-10-01,1243933824.0,0.10750843807060632,0.2181522870884764,0.395,0.0225
2013-11-01,1173282688.0,0.10373423842986632,0.217805537016431,0.395,0.0225
2013-12-01,1217977856.0,0.10813249561808622,0.21941255429775158,0.395,0.0225
2014-01-01,1175169024.0,0.1083384955639431,0.2215992742711372,0.395,0.0225
2014-02-01,1109843072.0,0.10978739205301086,0.22203760209568438,0.395,0.0225
2014-03-01,1247378688.0,0.10890926341382164,0.22008021805529238,0.395,0.0225
2014-04-01,1211499904.0,0.1082189573945245,0.22199861885213382,0.395,0.0225
2014-05-01,1274631936.0,0.1075008992537813,0.22338178795426888,0.395,0.0225
2014-06-01,1221370496.0,0.1019213532755718,0.222700554777101,0.395,0.0225
2014-07-01,1252074752.0,0.10397531744366806,0.22190215961930634,0.36,0.0225
2014-08-01,1285849600.0,0.10733049651549033,0.2245822262576147,0.36,0.0225
2014-09-01,1223680128.0,0.10637379471604476,0.22207313605801954,0.36,0.0225
2014-10-01,1272073728.0,0.10807129127350026,0.2220566531973655,0.36,0.0225
2014-11-01,1195259520.0,0.10453888305751742,0.22219141349791885,0.36,0.0225
2014-12-01,1249037440.0,0.10604336111803231,0.22280258788064497,0.36,0.0225
2015-01-01,1217054976.0,0.10868058724245826,0.2359851027756658,0.36,0.0225
2015-02-01,1148825088.0,0.10971246695618228,0.23519917773886553,0.36,0.0225
2015-03-01,1288573312.0,0.11079647234390134,0.2356116408719517,0.36,0.0225
2015-04-01,1256810752.0,0.10781535409712739,0.2352917188900101,0.36,0.0225
2015-05-01,1279627264.0,0.1069213493605781,0.23674087290280854,0.36,0.0225
2015-06-01,1264319872.0,0.10314325539214511,0.23498295699909327,0.36,0.0225
2015-07-01,1279316608.0,0.10273908293145691,0.23609427243558345,0.3,0.0225
2015-08-01,1317483904.0,0.10515536832830961,0.23659325955026836,0.3,0.0225
2015-09-01,1264803456.0,0.10685442917954882,0.23635462552050548,0.3,0.0225
2015-10-01,1305813504.0,0.10687694767104179,0.23666784709257638,0.3,0.0225
2015-11-01,1225432064.0,0.1074648356055467,0.23420659222793835,0.3,0.0225
2015-12-01,1271902208.0,0.10693622931697003,0.23483405486678544,0.3,0.0225
2016-01-01,1222466688.0,0.10739230050680104,0.24661885536103378,0.3,0.0225
2016-02-01,1226620416.0,0.10929175360915887,0.2461479349414936,0.3,0.0225
2016-03-01,1301398016.0,0.10833871092860912,0.2465635809579705,0.3,0.0225
2016-04-01,1279593984.0,0.10792697951871923,0.2480968656743149,0.3,0.0225
2016-05-01,1324240384.0,0.10696962457998489,0.24830576108420754,0.3,0.0225
2016-06-01,1298020992.0,0.10363816676671297,0.24730690858495485,0.3,0.0225
2016-07-01,1332313472.0,0.10835130739433438,0.24569838911008274,0.278,0.0225
2016-08-01,1365010560.0,0.10805586671745412,0.24493790212325697,0.278,0.0225
2016-09-01,1290003712.0,0.1066375089452245,0.24751224559632998,0.278,0.0225
2016-10-01,1320433792.0,0.106466699632205,0.25131796540947376,0.278,0.0225
