date,wa total gas sold,wa share of usa gas,average state tax excl. wa,wa excise tax
2003-04-01,220599007.0,0.019349845608176323,0.1884692804431415,0.23
2003-05-01,242505168.0,0.020148138616926187,0.18984171286184562,0.23
2003-06-01,243532908.0,0.020426560291463648,0.18974392895870157,0.23
2003-07-01,247122689.0,0.020098812277492037,0.19233105461150712,0.28
2003-08-01,250605096.0,0.020305117692116226,0.19127987077672473,0.28
2003-09-01,228215134.0,0.01965367545722778,0.1903605718231529,0.28
2003-10-01,237009066.0,0.020433589360012334,0.19145263536743176,0.28
2003-11-01,219647253.0,0.018855143540412483,0.1908976003648969,0.28
2003-12-01,226017398.0,0.019048188063817726,0.1912471679688666,0.28
2004-01-01,203886484.0,0.018104165980202983,0.19240369105566774,0.28
2004-02-01,179170835.0,0.016280588909792337,0.1927471301109738,0.28
2004-03-01,263662651.0,0.022549638049679823,0.19304848308698816,0.28
2004-04-01,228726507.0,0.019227223171044465,0.192503353570162,0.28
2004-05-01,229706960.0,0.01883070615843014,0.19416799577388502,0.28
2004-06-01,228792955.0,0.019290240106481896,0.19358148334611186,0.28
2004-07-01,243733493.0,0.019976691535605526,0.19593722669570987,0.28
2004-08-01,243384755.0,0.019916323963171216,0.19541212174386574,0.28
2004-09-01,231303477.0,0.019358587916351425,0.19384406737232804,0.28
2004-10-01,229813508.0,0.01962261747624169,0.1952018921485437,0.28
2004-11-01,224313455.0,0.01951648931584883,0.19446954735338606,0.28
2004-12-01,230374857.0,0.01891343498668843,0.19454921483849227,0.28
2005-01-01,208127795.0,0.018921052913521877,0.19609860159518955,0.28
2005-01-31,,,,0.28
2005-02-01,209705618.0,0.019411946661557055,0.19558437663508693,0.28
2005-03-01,237492586.0,0.020148956914298567,0.1962360228123261,0.28
2005-04-01,221335194.0,0.019078134449383048,0.19594654154079494,0.28
2005-05-01,234660350.0,0.01925776475168552,0.19660608307023067,0.28
2005-06-01,239872081.0,0.019804461410806672,0.19680449960545807,0.28
2005-07-01,241382047.0,0.019512678905736453,0.20217869059475402,0.31
2005-08-01,254899575.0,0.020302014669189166,0.19920644259414247,0.31
2005-09-01,223988896.0,0.019553240587271068,0.198448506457069,0.31
2005-10-01,227258408.0,0.01963626515739961,0.1986962897603761,0.31
2005-11-01,219534846.0,0.01937203177656601,0.19806798282106705,0.31
2005-12-01,227158896.0,0.019023807095801374,0.19870079783978198,0.31
2006-01-01,214222409.0,0.019379261209074586,0.20639646745529797,0.31
2006-02-01,206439615.0,0.019145446372802973,0.1997585685776681,0.31
2006-03-01,229426350.0,0.019540611960403537,0.1997192924924165,0.31
2006-04-01,225528934.0,0.01943461853959276,0.2015485799745564,0.31
2006-05-01,231436264.0,0.019317381317521577,0.2005174807395852,0.31
2006-06-01,235473522.0,0.02005989801578737,0.2011067480921142,0.31
2006-07-01,241369500.0,0.019932839178053652,0.20015925979671814,0.34
2006-08-01,246395633.0,0.02019288949511815,0.20198943804065583,0.34
2006-09-01,228265709.0,0.01934746610426536,0.20018128411848538,0.34
2006-10-01,231799019.0,0.019505921617219774,0.2011179868796357,0.34
2006-11-01,221109210.0,0.019237006936695993,0.20079620733098133,0.34
2006-12-01,228083064.0,0.018922119112485425,0.2004401981332492,0.34
2007-01-01,212526091.0,0.018766366536985494,0.20101262694236205,0.34
2007-02-01,201719440.0,0.018854125051826473,0.2005140606580081,0.34
2007-03-01,229481241.0,0.019657528510264106,0.20129622979338435,0.34
2007-04-01,223249477.0,0.019053507382613657,0.20054905864497843,0.34
2007-05-01,234243696.0,0.019406262042541367,0.20100475551730043,0.34
2007-06-01,233696269.0,0.019616898801250674,0.2021596751201147,0.34
2007-07-01,241622324.0,0.019864984618454477,0.2022233844835205,0.34
2007-08-01,248978358.0,0.02027787654482389,0.2022113498566263,0.34
2007-09-01,234143358.0,0.020054617277341626,0.2018893656663969,0.34
2007-10-01,235102429.0,0.019587242999294895,0.2019736588059206,0.34
2007-11-01,220371502.0,0.01945272496596039,0.20166986737394624,0.34
2007-12-01,219768580.0,0.018713992791237394,0.20167478803780123,0.34
2008-01-01,213113669.0,0.01914429173899854,0.20561726387278603,0.34
2008-02-01,206947353.0,0.0191643804666672,0.2008251732614697,0.34
2008-03-01,226006497.0,0.01980485457754353,0.20134132157098408,0.34
2008-04-01,219013187.0,0.019216742562040638,0.2014233352580424,0.34
2008-05-01,233893650.0,0.02001390780680227,0.2020530248842453,0.34
2008-06-01,227201789.0,0.01962993648967397,0.20390326353992066,0.34
2008-07-01,234900419.0,0.019951336761771667,0.2043054904085219,0.375
2008-07-01,234900419.0,0.019951336761771667,0.2043054904085219,0.375
2008-08-01,236488344.0,0.020318807124002303,0.20383416871114715,0.375
