date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2009-04-01,119188151.0,0.010485622793516674,0.20531006241508906,0.24
2009-05-01,141302207.0,0.011864173077730352,0.20712033061159765,0.24
2009-06-01,132410370.0,0.011336815158035389,0.20668805942834048,0.24
2009-07-01,143638402.0,0.011926342975425622,0.20778736199623327,0.24
2009-08-01,141237763.0,0.011912344059306116,0.20771481903066288,0.24
2009-09-01,129074495.0,0.011380712606278492,0.20787697244385797,0.24
2009-10-01,109083601.0,0.009439716124451068,0.20855548405760327,0.24
2009-11-01,139434677.0,0.012495400718973195,0.2076641276197063,0.24
2009-12-01,126676616.0,0.011237278886396208,0.20805322345936175,0.24
2010-01-01,73495733.0,0.0069091056765828145,0.2070234057126404,0.24
2010-02-01,152688071.0,0.014792238427675117,0.20705505420296805,0.24
2010-03-01,126287973.0,0.01110294023929443,0.20676161923591097,0.24
2010-04-01,124858313.0,0.01102561903637139,0.2065430016444987,0.24
2010-05-01,132348970.0,0.01109402219394761,0.20789138388052358,0.24
2010-06-01,133523325.0,0.011178788438783496,0.2064981349004454,0.24
2010-07-01,145224959.0,0.011890383026959082,0.2100208413271404,0.24
2010-08-01,138151678.0,0.011321034237427257,0.20863595770976626,0.24
2010-09-01,133194611.0,0.011752994493124546,0.20809120786200028,0.24
2010-10-01,129838384.0,0.011027583145522107,0.20972785321892876,0.24
2010-11-01,116584599.0,0.010375457838709093,0.2082377977179803,0.24
2010-12-01,129596191.0,0.011180589417224385,0.20910708267902914,0.24
2011-01-01,74699209.0,0.006946952764760444,0.2083446588447614,0.3
2011-02-01,148754906.0,0.014459604587921171,0.20864007214511093,0.3
2011-03-01,121407736.0,0.010736376280424372,0.20735929178275903,0.3
2011-04-01,121948034.0,0.011052211795576767,0.20897815665394306,0.3
2011-05-01,125860133.0,0.010854720097118102,0.208941214166446,0.3
2011-06-01,128838873.0,0.011003982060442294,0.20860729241130116,0.3
2011-07-01,135882154.0,0.01158567982072314,0.21004439749472276,0.3
2011-08-01,139555782.0,0.011782810157228043,0.21017103007301588,0.3
2011-09-01,127425315.0,0.01125726539528506,0.20932762212822972,0.3
2011-10-01,125505554.0,0.011110857062942441,0.20945897171432953,0.3
2011-11-01,118445443.0,0.010629909772457135,0.20856207174981103,0.3
2011-12-01,121200300.0,0.010705551487935982,0.20970667554363154,0.3
2012-01-01,93581408.0,0.008658559760325611,0.20900531449122062,0.3
2012-02-01,130222920.0,0.01228801763314808,0.20760774028789264,0.3
2012-03-01,116652488.0,0.010439765097726589,0.20934660255086276,0.3
2012-04-01,118706400.0,0.010676885361391865,0.2077873023799841,0.3
